      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
   5.62218  0.317E-05 -0.260E-11  0.910E-01  0.909      0.238E-11  0.180      0.155E-15  0.426E-07  0.367E-07
   5.64624  0.313E-05 -0.260E-11  0.741E-01  0.926      0.242E-11  0.170      0.189E-15  0.424E-07  0.371E-07
   5.67023  0.310E-05 -0.260E-11  0.595E-01  0.941      0.246E-11  0.160      0.208E-15  0.423E-07  0.374E-07
   5.69413  0.306E-05 -0.262E-11  0.470E-01  0.953      0.251E-11  0.150      0.212E-15  0.422E-07  0.375E-07
   5.71795  0.302E-05 -0.265E-11  0.365E-01  0.963      0.255E-11  0.140      0.200E-15  0.421E-07  0.376E-07
   5.74168  0.299E-05 -0.266E-11  0.278E-01  0.972      0.259E-11  0.130      0.175E-15  0.419E-07  0.377E-07
   5.76532  0.295E-05 -0.267E-11  0.207E-01  0.979      0.264E-11  0.120      0.140E-15  0.418E-07  0.379E-07
   5.78887  0.292E-05 -0.268E-11  0.150E-01  0.985      0.270E-11  0.110      0.986E-16  0.417E-07  0.382E-07
   5.81233  0.288E-05 -0.269E-11  0.106E-01  0.989      0.275E-11  0.100      0.537E-16  0.416E-07  0.385E-07
   5.83570  0.285E-05 -0.272E-11  0.718E-02  0.993      0.280E-11  0.903E-01  0.768E-17  0.415E-07  0.389E-07
   5.85898  0.281E-05 -0.273E-11  0.466E-02  0.995      0.285E-11  0.806E-01 -0.379E-16  0.413E-07  0.393E-07
   5.88216  0.278E-05 -0.274E-11  0.287E-02  0.997      0.289E-11  0.710E-01 -0.825E-16  0.411E-07  0.397E-07
   5.90526  0.275E-05 -0.276E-11  0.164E-02  0.998      0.294E-11  0.614E-01 -0.126E-15  0.410E-07  0.401E-07
   5.92826  0.272E-05 -0.275E-11  0.856E-03  0.999      0.298E-11  0.519E-01 -0.168E-15  0.408E-07  0.405E-07
   5.95118  0.268E-05 -0.276E-11  0.392E-03   1.00      0.302E-11  0.424E-01 -0.209E-15  0.407E-07  0.410E-07
   5.97401  0.265E-05 -0.280E-11  0.148E-03   1.00      0.306E-11  0.330E-01 -0.250E-15  0.405E-07  0.415E-07
   5.99675  0.262E-05 -0.279E-11  0.402E-04   1.00      0.310E-11  0.237E-01 -0.290E-15  0.404E-07  0.419E-07
   6.01941  0.259E-05 -0.282E-11  0.571E-05   1.00      0.314E-11  0.145E-01 -0.329E-15  0.403E-07  0.424E-07
